# wl     resolution
# Å      lamda/dlambda
# Data digitized from LRS-B test report
5473.8  5802.6
5793.1  6434.2
5885.9  6572.4
5986.0  6700.7
6108.5  6878.3
6331.1  7213.8
6561.2  7588.8
6754.2  7934.2
6977.0  8358.6
7084.5  8467.1

